영역	문항ID	문항	비고
출결·학업중단	AT1	최근 1개월 내 무단결석·지각·조퇴가 잦다
출결·학업중단	AT2	특별한 사유 없이 결석이 3일 이상 이어진 적이 있다
출결·학업중단	AT3	학업중단(자퇴 등) 의사를 표현했거나 숙려제 대상이 되었다
출결·학업중단	AT4	등교는 하지만 수업 이탈(무단 외출, 보건실 장기 체류 등)이 잦다
학업·진로	ST1	기초학력이 부족하여 수업 내용을 따라가기 어려워한다
학업·진로	ST2	최근 성적이나 수업 참여도가 눈에 띄게 떨어졌다
학업·진로	ST3	과제 미제출·수행평가 포기가 반복된다
학업·진로	ST4	진로 계획이 전혀 없거나 심한 막막함을 호소한다
학업·진로	ST5	자격증 취득·현장실습 등 필수 과정 참여를 회피한다
심리·정서	EM1	무기력하거나 우울해 보이는 모습이 2주 이상 지속된다
심리·정서	EM2	불안·긴장이 심하거나 사소한 일에 과민하게 반응한다
심리·정서	EM3	감정 기복이 크고 분노 조절이 어려워 보인다
심리·정서	EM4	자해 흔적이 있거나 죽음·자살을 언급한 적이 있다	즉시 대응: 관리자·전문상담(교)사 보고, 위기 절차 우선(자살예방 상담전화 109)
심리·정서	EM5	수면 문제(불면·과다수면)나 식사 문제가 관찰된다
심리·정서	EM6	최근 큰 상실·사건(가족 사망, 사고 등)을 겪었다
대인관계·학교폭력	RE1	친구가 거의 없고 혼자 지내는 시간이 많다
대인관계·학교폭력	RE2	괴롭힘·따돌림 피해가 의심되는 정황이 있다	즉시 대응: 학교폭력 사안처리 절차 별도 진행(신고·상담 117)
대인관계·학교폭력	RE3	또래·교사와의 갈등이 반복된다
대인관계·학교폭력	RE4	사이버상 갈등·폭력(단체대화방 저격, SNS 비방 등) 정황이 있다	즉시 대응: 학교폭력 사안처리 절차 별도 진행(신고·상담 117)
가정·환경	FA1	보호자의 돌봄 공백(장기 부재, 방임 등)이 의심된다
가정·환경	FA2	학대(신체·정서·성·방임)가 의심되는 정황이 있다	즉시 대응: 교직원은 신고의무자, 지체 없이 112 신고
가정·환경	FA3	가족 간병, 동생 돌봄 등 과도한 가족 돌봄 부담이 있다
가정·환경	FA4	주거가 불안정하다(잦은 이사, 시설 거주, 가출 등)
가정·환경	FA5	가정 불화·해체(이혼, 별거 등)로 인한 어려움을 호소한다
경제	EC1	급식비·학용품·교복 등 기본 비용 지원이 필요해 보인다
경제	EC2	생계형 아르바이트로 학업에 지장이 있다
경제	EC3	공과금 체납, 단전·단수 등 생활고를 언급한 적이 있다
경제	EC4	교육급여 등 복지제도 대상일 수 있으나 신청 여부가 확인되지 않는다
건강	HE1	질환이 있으나 치료·관리가 제대로 되지 않는 것 같다
건강	HE2	시력·치아·피부 등 건강 문제가 방치되고 있다
건강	HE3	위생 상태(의복, 씻지 못함 등)가 좋지 않다
건강	HE4	흡연·음주·약물 등 유해물질 사용이 의심된다
건강	HE5	스마트폰·인터넷·도박 과의존이 의심된다
